Branch_code [p] (N),Address(V),Department_id [F](N),Branch_name(V),State(V)
100,Ngapur,1,ICIC_N,Maharashtra
101,pune,1,ICIC_P,Maharashtra
102,Mumbai,1,ICIC_M,Maharashtra
103,delhi,1,ICIC_D,DEL
104,Mumbai,1,ICIC_M,Maharashtra
105,delhi,1,ICIC_D,DEL
106,Ngapur,1,ICIC_N,Maharashtra
107,pune,8,ICIC_P,Maharashtra
108,Mumbai,8,ICIC_M,Maharashtra
109,Ngapur,8,ICIC_N,Maharashtra
110,pune,11,ICIC_P,Maharashtra
111,Mumbai,11,ICIC_M,Maharashtra
112,delhi,11,ICIC_D,DEL
113,Ngapur,11,ICIC_N,Maharashtra
114,pune,11,ICIC_P,Maharashtra
115,Mumbai,16,ICIC_M,Maharashtra
116,Ngapur,16,ICIC_N,Maharashtra
117,pune,16,ICIC_P,Maharashtra
118,Mumbai,19,ICIC_M,Maharashtra
119,delhi,19,ICIC_D,DEL
120,Pune,21,ICIC_P,Maharashtra
